glacier0001_iter01_01,   533397.7
glacier0001_iter01_02,   536090.2
glacier0001_iter01_03,   539770.2
glacier0001_iter01_04,   548196.6
glacier0001_iter01_05,   577642.5
glacier0001_iter01_06,   481156.7
glacier0001_iter01_07,   485282.8
glacier0001_iter01_08,   488221.5
glacier0001_iter01_09,   492166.4
glacier0001_iter01_10,   494978.3
glacier0001_iter02_01,   548419.6
glacier0001_iter02_02,   549092.0
glacier0001_iter02_03,   552060.1
glacier0001_iter02_04,   560038.9
glacier0001_iter02_05,   570486.7
glacier0001_iter02_06,   576816.8
glacier0001_iter02_07,   500619.1
glacier0001_iter02_08,   476298.1
glacier0001_iter02_09,   476424.8
glacier0001_iter02_10,   481517.1
glacier0001_iter03_01,   560277.8
glacier0001_iter03_02,   561356.5
glacier0001_iter03_03,   563759.7
glacier0001_iter03_04,   566675.0
glacier0001_iter03_05,   569137.9
glacier0001_iter03_06,   570676.2
glacier0001_iter03_07,   572520.3
glacier0001_iter03_08,   574266.9
glacier0001_iter03_09,   575641.7
glacier0001_iter03_10,   576065.3
glacier0002_iter01_01,   540409.1
glacier0002_iter01_02,   539814.8
glacier0002_iter01_03,   539659.3
glacier0002_iter01_04,   539506.0
glacier0002_iter01_05,   539523.4
glacier0002_iter01_06,   539345.3
glacier0002_iter01_07,   539438.1
glacier0002_iter01_08,   539608.3
glacier0002_iter01_09,   539552.8
glacier0002_iter01_10,   539986.9
glacier0002_iter02_01,not_found
glacier0002_iter02_02,not_found
glacier0002_iter02_03,not_found
glacier0002_iter02_04,not_found
glacier0002_iter02_05,not_found
glacier0002_iter02_06,not_found
glacier0002_iter02_07,not_found
glacier0002_iter02_08,not_found
glacier0002_iter02_09,not_found
glacier0002_iter02_10,not_found
glacier0002_iter03_01,not_found
glacier0002_iter03_02,not_found
glacier0002_iter03_03,not_found
glacier0002_iter03_04,not_found
glacier0002_iter03_05,not_found
glacier0002_iter03_06,not_found
glacier0002_iter03_07,not_found
glacier0002_iter03_08,not_found
glacier0002_iter03_09,not_found
glacier0002_iter03_10,not_found
glacier0003_iter01_01,   526520.5
glacier0003_iter01_02,   526657.2
glacier0003_iter01_03,   526208.3
glacier0003_iter01_04,   526241.4
glacier0003_iter01_05,   526136.4
glacier0003_iter01_06,   526470.4
glacier0003_iter01_07,   526585.1
glacier0003_iter01_08,   526847.8
glacier0003_iter01_09,   526664.5
glacier0003_iter01_10,   526169.2
glacier0003_iter02_01,not_found
glacier0003_iter02_02,not_found
glacier0003_iter02_03,not_found
glacier0003_iter02_04,not_found
glacier0003_iter02_05,not_found
glacier0003_iter02_06,not_found
glacier0003_iter02_07,not_found
glacier0003_iter02_08,not_found
glacier0003_iter02_09,not_found
glacier0003_iter02_10,not_found
glacier0003_iter03_01,not_found
glacier0003_iter03_02,not_found
glacier0003_iter03_03,not_found
glacier0003_iter03_04,not_found
glacier0003_iter03_05,not_found
glacier0003_iter03_06,not_found
glacier0003_iter03_07,not_found
glacier0003_iter03_08,not_found
glacier0003_iter03_09,not_found
glacier0003_iter03_10,not_found
glacier0004_iter01_01,   510354.1
glacier0004_iter01_02,   510352.0
glacier0004_iter01_03,   510178.5
glacier0004_iter01_04,   509733.5
glacier0004_iter01_05,   510084.8
glacier0004_iter01_06,   513017.7
glacier0004_iter01_07,   529031.9
glacier0004_iter01_08,   528485.2
glacier0004_iter01_09,   529215.9
glacier0004_iter01_10,   530001.9
glacier0004_iter02_01,not_found
glacier0004_iter02_02,not_found
glacier0004_iter02_03,not_found
glacier0004_iter02_04,not_found
glacier0004_iter02_05,not_found
glacier0004_iter02_06,not_found
glacier0004_iter02_07,not_found
glacier0004_iter02_08,not_found
glacier0004_iter02_09,not_found
glacier0004_iter02_10,not_found
glacier0004_iter03_01,not_found
glacier0004_iter03_02,not_found
glacier0004_iter03_03,not_found
glacier0004_iter03_04,not_found
glacier0004_iter03_05,not_found
glacier0004_iter03_06,not_found
glacier0004_iter03_07,not_found
glacier0004_iter03_08,not_found
glacier0004_iter03_09,not_found
glacier0004_iter03_10,not_found
glacier0005_iter01_01,   494704.1
glacier0005_iter01_02,   494628.0
glacier0005_iter01_03,   494273.8
glacier0005_iter01_04,   494820.7
glacier0005_iter01_05,   494735.4
glacier0005_iter01_06,   494724.8
glacier0005_iter01_07,   494630.9
glacier0005_iter01_08,   494648.2
glacier0005_iter01_09,   495139.7
glacier0005_iter01_10,   495108.9
glacier0005_iter02_01,not_found
glacier0005_iter02_02,not_found
glacier0005_iter02_03,not_found
glacier0005_iter02_04,not_found
glacier0005_iter02_05,not_found
glacier0005_iter02_06,not_found
glacier0005_iter02_07,not_found
glacier0005_iter02_08,not_found
glacier0005_iter02_09,not_found
glacier0005_iter02_10,not_found
glacier0005_iter03_01,not_found
glacier0005_iter03_02,not_found
glacier0005_iter03_03,not_found
glacier0005_iter03_04,not_found
glacier0005_iter03_05,not_found
glacier0005_iter03_06,not_found
glacier0005_iter03_07,not_found
glacier0005_iter03_08,not_found
glacier0005_iter03_09,not_found
glacier0005_iter03_10,not_found
glaciera006_iter01_01,   506011.9
glaciera006_iter01_02,   505946.2
glaciera006_iter01_03,   505672.1
glaciera006_iter01_04,   505538.2
